metric,label_a,label_b,n_a,n_b,n_a_clean,n_b_clean,outliers_a,outliers_b,shapiro_p_a,shapiro_p_b,test,pvalue,effect_name,effect,mean_a,mean_b,median_a,median_b,var_a,var_b,std_a,std_b,figure,title,app,factor
avg_power_W,Zoom camera ON,Zoom camera OFF,30,30,30,29,0,1,0.0038412769354409467,0.00615940472944722,Mann–Whitney U,1.59650470926425e-06,Common language,0.864367816091954,6.108071036011065,5.455657715828553,6.175174804920805,5.3781232680451865,0.09634801789573194,0.21917544093343286,0.3103997710948446,0.46816176791087166,zoom_camera_avg_power_W_violin.png,Zoom – avg_power_W (camera ON vs OFF),zoom,camera
avg_power_W,Teams camera ON,Teams camera OFF,30,30,30,30,0,0,0.6566456931940201,0.22240037130065604,Welch t-test,0.0006320452111301578,Cohen's d,-0.935419078445851,6.574101858742199,6.178367064241857,6.561196769740463,6.1703604339855,0.14156195453331524,0.21639105854287383,0.37624719870494083,0.4651785233035526,teams_camera_avg_power_W_violin.png,Teams – avg_power_W (camera ON vs OFF),teams,camera
avg_power_W,Zoom blur ON,Zoom blur OFF,30,30,30,29,0,1,0.000981218988652242,0.0002831373405823417,Mann–Whitney U,0.0068015012414260915,Common language,0.7057471264367816,6.914150800820516,5.826272410287434,6.953418700853208,5.786938047791335,5.065263780413259,2.967602324068679,2.2506140896238205,1.7226730171650912,zoom_blur_avg_power_W_violin.png,Zoom – avg_power_W (blur ON vs OFF),zoom,blur
avg_power_W,Teams blur ON,Teams blur OFF,30,30,30,29,0,1,0.013975672260685407,0.003029298616387061,Mann–Whitney U,0.4902764340192708,Common language,0.4471264367816092,6.277831112053115,6.267803236823566,6.888661622123772,7.006380348827739,3.3061892482206927,3.2291388649191033,1.818292948955336,1.7969804854029727,teams_blur_avg_power_W_violin.png,Teams – avg_power_W (blur ON vs OFF),teams,blur
avg_power_W,Zoom share ON,Zoom share OFF,30,30,29,30,1,0,0.0047811715115051,0.001202665092019121,Mann–Whitney U,0.4438673110565554,Common language,0.4413793103448276,4.614631411636106,5.0186261826220395,5.304305943372461,5.538847690195006,2.859923920911785,2.188877437373008,1.6911309591252195,1.4794855313158721,zoom_share_avg_power_W_violin.png,Zoom – avg_power_W (share ON vs OFF),zoom,share
avg_power_W,Teams share ON,Teams share OFF,30,30,30,29,0,1,0.0911829410535209,0.0068183445595139955,Mann–Whitney U,0.0005943403021775012,Common language,0.7609195402298851,6.414346076924301,4.380817648878521,7.077264151691245,5.005033175393884,5.297371538182883,1.781035979367026,2.301601950421246,1.3345545996200479,teams_share_avg_power_W_violin.png,Teams – avg_power_W (share ON vs OFF),teams,share
EDP_Js,Zoom camera ON,Zoom camera OFF,30,30,30,30,0,0,0.06374844628722544,0.037146301210024345,Mann–Whitney U,2.2780239117599316e-05,Common language,0.8188888888888889,5336.875744605993,4816.305708189921,5294.341126708985,4783.663057304437,119595.86857241718,171479.82499722953,345.8263560985732,414.10122554422554,zoom_camera_EDP_Js_violin.png,Zoom – EDP_Js (camera ON vs OFF),zoom,camera
EDP_Js,Teams camera ON,Teams camera OFF,30,30,30,30,0,0,0.9635452428450682,0.3753060854372837,Welch t-test,0.00018327934320184837,Cohen's d,-1.034853369557651,5815.045716940827,5413.788478085871,5809.864889831544,5375.847625068745,120740.107558727,179949.2936009124,347.47677268952384,424.2043064384335,teams_camera_EDP_Js_violin.png,Teams – EDP_Js (camera ON vs OFF),teams,camera
EDP_Js,Zoom blur ON,Zoom blur OFF,30,30,30,29,0,1,5.897580271079749e-05,0.0004877414746362038,Mann–Whitney U,0.008911303289092608,Common language,0.6988505747126437,5072.909065746567,4604.597550765968,4394.7723371505745,4052.6770096588134,1227826.283987596,958152.9064249218,1108.0732304263993,978.8528522842041,zoom_blur_EDP_Js_violin.png,Zoom – EDP_Js (blur ON vs OFF),zoom,blur
EDP_Js,Teams blur ON,Teams blur OFF,30,30,30,30,0,0,0.004744651810580759,0.0002214983516039182,Mann–Whitney U,0.3710770321265142,Common language,0.43222222222222223,5404.474401295457,5392.6464368809975,6033.490509124756,6128.803324813896,2361565.2613992374,1979422.9580161304,1536.7385143215606,1406.9196700651144,teams_blur_EDP_Js_violin.png,Teams – EDP_Js (blur ON vs OFF),teams,blur
EDP_Js,Zoom share ON,Zoom share OFF,30,30,30,30,0,0,0.0002325715654005804,0.00038302506433791434,Mann–Whitney U,0.4289633888604326,Common language,0.56,3712.0882240031056,3587.6021583689358,3053.219086273193,2885.6524388122557,1778619.0475799525,1833944.517080717,1333.6487721960202,1354.232076521863,zoom_share_EDP_Js_violin.png,Zoom – EDP_Js (share ON vs OFF),zoom,share
EDP_Js,Teams share ON,Teams share OFF,30,30,30,30,0,0,0.0016161856119190465,0.0008332356656663001,Mann–Whitney U,0.027086318388295935,Common language,0.6666666666666666,4431.0769637964995,3435.598461030045,3716.7978804473605,2987.611244178772,2919796.942803611,1379015.490020977,1708.741332912507,1174.314902409476,teams_share_EDP_Js_violin.png,Teams – EDP_Js (share ON vs OFF),teams,share
